Prototype,Count,Normalized,training_data_count1,training_data_count2
Other_0,60939,,1000,247
CaTiO3_221,4724,0.078267641,78,69
W_229,4502,0.074589526,75,67
Te2Au_12,3045,0.050449824,50,55
C_10,2153,0.03567109,36,46
MgAl2O4_227,1550,0.025680534,26,39
Mg2SiO4_62,1342,0.022234372,22,37
H3S_229,1234,0.020445019,20,35
MgNi2_194,1179,0.019533774,20,34
Bi2Te3_166,1045,0.01731365,17,32
Mg_194,1043,0.017280514,17,32
SiO2_15,1001,0.016584655,17,32
CaF2_225,996,0.016501814,17,32
SrH2_62,995,0.016485246,16,32
MgSiO3_63,942,0.015607138,16,31
Cu_225,837,0.013867488,14,29
Mn2O3_206,816,0.013519559,14,29
LiNbO3_161,756,0.012525473,13,27
Al2O3_33,748,0.012392929,12,27
TiO2_136,685,0.011349139,11,26
Eu2Ir2O7_227,684,0.011332571,11,26
MoS2_194,672,0.011133754,11,26
BiF3_225,657,0.010885233,11,26
Cu3Au_221,652,0.010802392,11,26
AlB2_191,618,0.010239077,10,25
Rh2S3_60,603,0.009990556,10,25
Ni3Sn_194,590,0.009775171,10,24
Fe2P_189,589,0.009758603,10,24
NaTl_227,584,0.009675763,10,24
CaSO4_63,508,0.008416588,8,23
NbO2_88,507,0.00840002,8,23
Al2CdS4_82,491,0.00813493,8,22
CuSbS2_62,482,0.007985818,8,22
Ag2Se_19,447,0.007405935,7,21
BaSO4_62,411,0.006809484,7,20
In2S3_141,399,0.006610667,7,20
PbCl2_62,364,0.006030784,6,19
CaCu5_191,362,0.005997647,6,19
CuTe_59,357,0.005914807,6,19
MoO3_62,346,0.005732558,6,19
BaSi4O9_188,339,0.005616581,6,18
Si_223,337,0.005583445,6,18
La2O3_164,331,0.005484037,5,18
Th3P4_220,325,0.005384628,5,18
TiCu3_59,319,0.00528522,5,18
Ni3P_82,316,0.005235515,5,18
TiO2_141,305,0.005053266,5,17
CdI2_164,295,0.004887586,5,17
FeB_62,287,0.004755041,5,17
GaCl2_52,287,0.004755041,5,17
CuS_194,283,0.004688768,5,17
Ga5Ir3_118,283,0.004688768,5,17
CdI2_156,264,0.004373975,4,16
Ni4Mo_87,264,0.004373975,4,16
CaIn2_194,262,0.004340839,4,16
Al2O3_167,252,0.004175158,4,16
K2PtCl6_225,245,0.004059181,4,16
SiF4_217,243,0.004026045,4,16
CaCl2_58,242,0.004009477,4,16
CsCl_221,241,0.003992909,4,16
SiO2_20,239,0.003959773,4,15
BeO_136,231,0.003827228,4,15
