,mat_id,composition
0,mp-1186465,Pr1Sm1Ir2
1,mp-12586,Sm1Cu1
2,mp-1186406,Pa1Tc2Sn1
3,mp-915,Y1Cd1
4,mp-867327,Hf2Tc1Ru1
5,mp-974949,Rb3Ir1
6,mp-864625,Ho2Ir1Rh1
7,mp-861877,Cd1Sn1Rh2
8,mp-861672,Ti2Fe1Ir1
9,mp-1183416,Be1Cr1Fe2
10,mp-1183190,Ac1Zn2In1
11,mp-862493,Li1Er2Al1
12,mp-864939,Hf2Cu1Ir1
13,mp-631310,Co1Re1Ge2
14,mp-980055,Y1Er1Mg2
15,mp-1186155,Na1Ce1Hg2
16,mp-983362,Hf2Fe1Tc1
17,mp-2334,Dy1Cu1
18,mp-867867,Sm1Mg1Au2
19,mp-1187274,Tb2Ru1Rh1
20,mp-1186942,Sc2Ga1Ni1
21,mp-865552,Ce1Cd1Ag2
22,mp-865897,Li2Ac1In1
23,mp-1186872,Rb3Tb1
24,mp-1185245,Li1Y3
25,mp-1183068,Ac2Cd1Ga1
26,mp-1184583,Ho2Al1Ru1
27,mp-1206794,Li1Au1
28,mp-862914,Er2Zn1Tc1
29,mp-1186256,Nd2Tl1Ag1
30,mp-1187612,Yb1Cd2In1
31,mp-862666,Dy1Ga1Rh2
32,mp-1183068,Ac2Cd1Ga1
33,mp-1184884,K3Dy1
34,mp-22901,K1I1
35,mp-1186125,Na1Cd2Pd1
36,mp-1186583,Pm1Eu1Pt2
37,mp-183,Ce1Cd1
38,mp-1184435,Gd2Cu1Au1
39,mp-977352,Th1Mg1Zn2
40,mp-2426,Li1Ag1
41,mp-1185487,Lu1F3
42,mp-11279,Ti1Be1
43,mp-1009640,Pr1N1
44,mp-976943,Na1Re3
45,mp-1183579,Ca1La1Au2
46,mp-972236,V2Mo1W1
47,mp-972493,Sm2Mg1Ru1
48,mp-972082,Tl3Si1
49,mp-631661,Y2Fe1B1
50,mp-981314,Yb1Lu1Pd2
51,mp-865983,Tm1Cd1Hg2
52,mp-973826,Li1Ho1Sn2
53,mp-1187333,Tb1Er1Hg2
54,mp-864907,Mg1Zr1Pd2
55,mp-1184226,Ga3Ag1
56,mp-572,Sm1Cd1
57,mp-866220,Ca1Nd1Zn2
58,mp-866286,Ac1Mg1
59,mp-1185602,La2Ga1Ag1
60,mp-866014,Ca1Sm1Hg2
61,mp-1186767,Ta2Nb1Re1
62,mp-1009005,Ir1N1
63,mp-1186338,Nd1Tm1In2
64,mp-865989,Al2Ir1Ru1
65,mp-672259,Al1Fe2Mo1
66,mp-974527,Nd1Sm1Zn2
67,mp-1038660,Mg30Nb1Cr1O32
68,mp-675328,Ce4Ge1S3
69,mp-1218024,Ta2Ti2Nb1C5
70,mp-1018097,Ba1Ca1O2
71,mp-15789,Li1Dy1S2
72,mp-755287,Ca3Cd1O4
73,mp-639747,Ba1
74,mp-1219523,Re1Mo1C2
75,mp-2052,Sc1As1
76,mp-1219173,Sm4Eu1S5
77,mp-1282,V1C1
78,mp-15792,Li1Gd1Se2
79,mp-1008929,Fe1N1
80,mp-1215918,Y1Sc3N4
81,mp-1229120,Ag2Bi1Sb1Se4
82,mp-24721,Rb1H1
83,mp-414,Lu1Se1
84,mp-1226124,Co1Cu2O3
85,mp-1037511,Mg30Co1Cu1O32
86,mp-1222295,Lu1Ag1S2
87,mp-1222743,Li2Lu1U1S4
88,mp-1215421,Yb1Ag1S2
89,mp-1007,Dy1Sb1
90,mp-1035831,Mg14Zn1Fe1O16
